icao24,r,t
400f2b,G-CDZT,BE20
aa6ccb,N771AN,B772
495147,CS-TJG,A321
aa9d6e,N783UA,B772
4ca244,EI-DCN,B738
405f10,G-EZFH,A319
400938,G-EUOC,A319
778563,YK-AKC,A320
484007,PH-BFH,B744
405f57,G-RUBE,E135
4baa49,TC-JRI,A321
400847,G-BYTH,A320
400d90,G-EZAF,A319
405b69,G-EZDP,A319
aa944a,N781AN,B772
4059fa,G-FBEK,E190
a7ef40,N610FE,MD11
4ca24e,EI-DCX,B738
45ad05,OY-KHE,MD82
401240,G-EUUT,A320
4ca2d4,EI-DLH,B738
800499,VT-VJO,A332
4006c5,G-OOPH,A321
06a01e,A7-ACC,A332
3423c5,EC-JSB,A320
405b66,G-EZDM,A319
400896,G-RJXF,E145
4b007c,HB-AEU,D328
4a8142,SE-DZK,B738
400bb7,G-JECG,DH8D
4b1617,HB-IJN,A320
4ca760,EI-EFE,B738
7404ee,JY-AGN,A310
342059,EC-ILP,A321
400af8,G-EZDC,A319
405b75,G-CFGB,C680
3c664e,D-AIRN,A321
4007bb,G-TBAE,B462
400935,G-EUPZ,A319
20095,CN-ROU,B738
4ca1d0,EI-DAS,B738
ab649a,N833MH,B764
896113,A6-ECL,B77W
a99deb,N719EL,BE40
4009d9,G-EUUL,A320
3c4a82,D-ABTB,B744
a6813f,N518XL,XL2
3c6585,D-AILE,A319
400610,G-VIIJ,B772
a59ec1,N461QS,GLF4
400675,G-VSEA,A343
400512,G-DOCS,B734
40040a,G-BNLK,B744
4ca1fe,EI-DCG,B738
4004cd,G-DOCE,B734
449156,OO-DJV,RJ85
405a46,G-EUUX,A320
478321,LN-RPZ,B736
0292a3,TS-IMD,A320
4ca6fd,EI-DYZ,B738
4008000000,G-MIDS,A320
4b19e8,HB-JVC,F100
405a49,G-EUYA,A320
491314,CS-DXT,C56X
4004c6,G-BNLX,B744
4ca1b8,EI-DAG,B738
400a5a,G-ZXZX,LJ45
4ca27f,EI-DEK,A320
4ca1f3,EI-DAW,B738
4004df,G-BNWO,B763
400fdc,G-EZBK,A319
400c4f,G-EZIM,A319
400a54,G-EZKF,B737
4ca702,EI-EBE,B738
30006a,I-BIXS,A321
4ca6c4,EI-DVI,A320
400831,G-MIDL,A321
400926,G-VFOX,A346
732427,EP-IAG,B742
4ca4ed,EI-DPI,B738
400a00,G-EZJU,B737
40097f,G-EUUD,A320
45acc1,OY-KFA,CRJ9
4009fb,G-EZJT,B737
4ca4e9,EI-DPE,B738
343347,EC-KYO,E190
400bd8,G-EZMS,A319
3c48a6,D-ABEF,B733
